,store,sido-gu,address,phone
0,성남터미널점,경기 성남시 분당구,"경기도 성남시 분당구 성남대로925번길 16, 성남종합버스터미널 1층",031-725-1004
1,부산백양대로점,부산 사상구,괘법동 141,051-311-5399
2,왕십리역점,서울 성동구,"성동구 왕십리광장로 17 (행당동 168-151 ), 비트플렉스몰 3층",02-2200-1303
3,홍대출판사거리점,서울 마포구,"서울시 마포구 독막로7길 40, 1층",02-332-3567
4,간석오거리점,인천 남동구,,032-425-0915
5,위례중앙점,경기 성남시 수정구,,031-755-5064
6,수유사거리점,서울 강북구,서울시 강북구 도봉로 82길 11 (2~4층),070-5226-1999
7,하남덕풍점,경기 하남시,덕풍북로 2,031-792-9389
8,전경련회관점,서울 영등포구,서울시 영등포구 여의도동 28-1 전경련신축회관 B109-11,02-786-3485
9,대전만년점,대전 서구,"대전 서구 둔산대로117번길 95(만년동, 리더스타운)",
